date,video_id,group,title,published,views,likes,comments,is_mv,duration
2026-03-10,F9Kd7s6nojs,SF9,첫 페스티벌에 무대 찢어 놓은 신인 가수 실존✨ | 인성 2026 FIRST MUSIC STATION BEHIND,2026-03-06,2867,574,52,False,552
2026-03-10,5Czwfg69r0s,SF9,다원 is back! 보고싶었어 판타지‎🥹 | 2026 SF9 DAWON FANMEETING '다원해' BEHIND,2026-03-05,4367,714,70,False,770
2026-03-10,FdlCWsu-IpY,SF9,굿나잇🌠,2026-03-04,7850,661,37,False,2919
2026-03-10,yDx0gH4OKI8,TEMPEST,2025-26 TEMPEST ASIA TOUR [As I am] in Macau & Taipei Behind The Scenes,2026-03-05,2959,519,40,False,1524
2026-03-10,hhcgEA1qwMI,AB6IX,AB6IX (에이비식스) 3RD ALBUM 'SEVEN : CRIMSON HORIZON' MOOD FILM,2026-03-09,909,316,19,False,23
2026-03-10,Yn7Ot7y-w68,AB6IX,[속보] 경☆축☆ ABS 엡식마당 3월 14일 개편💥 본.방.사.수🎤,2026-03-07,1511,329,22,False,31
2026-03-10,bwqoiqBE1g0,OMEGA X,"OX:N (오엑스엔) | ‘SWIRKY', 'LOVE+' Dance Practice Behind",2026-03-06,2047,491,45,False,809
2026-03-10,ue8xg0gqVY8,ATEEZ,ATEEZ(에이티즈) - 'On The Road' Live Clip (@Spotify Live Version),2026-03-08,119103,24295,1104,False,252
2026-03-10,hSC6UD9Zusg,ATEEZ,ATEEZ(에이티즈) log_logbook#207,2026-03-06,34937,6131,278,False,522
2026-03-10,WxyhHGOYWcs,ATEEZ,ATEEZ(에이티즈) log_logbook#206,2026-03-03,71764,9644,369,False,1229
2026-03-10,LIIg5mf0itQ,EPEX,Cover by EPEX 아민 l Yonezu Kenshi - LADY,2026-03-06,2074,311,27,False,216
2026-03-10,YrhYFiKrpC4,CRAVITY,CRAVITY PARK (크래비티 파크) EP.117 아바타 소개팅🔥 [뜨거운 비티들 특집] l 비티파크 2026,2026-03-09,15659,2060,310,False,2101
2026-03-10,lNcZsZ0Ras0,CRAVITY,𝗜𝘁'𝘀 𝟵 𝗼'𝗰𝗹𝗼𝗰𝗸 @ 2026 CRAVITY FAN-CON 'VITY FESTA'  l CRAVITY (크래비티),2026-03-07,5382,978,58,False,171
2026-03-10,6ahF30wFYVM,CRAVITY,"[C-Plus+] WOOBIN 우빈 '어제의 너, 오늘의 나' Cover l CRAVITY (크래비티)",2026-03-05,6806,1177,121,False,224
2026-03-10,fpqANnVaORM,KickFlip,“Twenty” Cheering Guide,2026-03-09,12411,3192,238,False,239
