video_id,group,title,published,timestamp,hours_since_release,views,likes,comments,views_delta,likes_delta
qGaP6xA0S24,MADEIN,"MADEIN - ""PUNG!"" PERFORMANCE MV",2026-03-09,2026-03-10 19:10,43.2,92608,1761,107,9048,79
9sIqCLT_ZWI,MADEIN,"MADEIN - ""PUNG!"" MV Behind The Scenes",2026-03-05,2026-03-10 19:10,139.2,5523,639,48,58,3
aer_X9NmhTc,MADEIN,"MADEIN - ""PUNG!"" MV",2026-03-04,2026-03-10 19:10,163.2,3827422,11590,635,3977,99
zQ-XkGm0zvI,Hearts2Hearts,약간 무서운 인형 느낌쓰 내가 널 잡아먹었다악!!! (^❯⩊❮^)⟆.✦ ݁˖ | Hearts2Hearts 하츠투하츠 ’RUDE!’ MV BH2ND #1,2026-03-06,2026-03-10 19:10,115.2,235591,17613,850,3684,131
PZg9dXu--zU,KiiiKiii,KiiiKiii 키키 'Delulu' MV Behind The Scenes,2026-03-07,2026-03-10 19:10,91.2,21349,2648,217,202,10
5Ml36DgCDCU,AtHeart,AtHeart 앳하트 ‘Butterfly Doors’ MV Teaser 1,2026-03-09,2026-03-10 19:10,43.2,97941,1205,140,8122,40
oh7Vo8vtvMY,AtHeart,"[📹Hearting] 비하인드, 솔직히 기다렸지? 😘 | ‘Shut Up’ MV Behind",2026-03-07,2026-03-10 19:10,91.2,23912,583,36,26,3
ky25jg2lKLc,Baby DONT Cry,Baby DONT Cry - 'Shapeshifter' MV Teaser 1,2026-03-09,2026-03-10 19:10,43.2,14063,2536,156,816,94
YTKu63w0HxI,P1Harmony,P1Harmony (피원하모니) - ‘UNIQUE’ MV TEASER,2026-03-09,2026-03-10 19:10,43.2,57524,16218,1078,2915,520
wYDje1rv-oo,ONF,온앤오프 (ONF)_사랑하게 될 거야 (We Must Love)(MV),2026-03-04,2026-03-10 19:10,163.2,33610,0,519,665,0
FeU8m9YEVSY,NouerA,NouerA (누에라) 'POP IT LIKE' MV,2026-03-09,2026-03-10 19:10,43.2,4218075,4886,729,277207,303
swubc9U-Wgs,NouerA,NouerA (누에라) 'POP IT LIKE' MV TEASER #2,2026-03-06,2026-03-10 19:10,115.2,60482,618,47,82,1
iiuRF8cDUIY,NouerA,NouerA (누에라) 'POP IT LIKE' MV TEASER #1,2026-03-03,2026-03-10 19:10,187.2,91561,810,80,22,1
I3ykCyP3JJU,ALL(H)OURS,ALL(H)OURS (올아워즈) ‘DEAD MAN WALKING’ M/V TEASER. 1,2026-03-09,2026-03-10 19:10,43.2,80718,1589,84,344,35
BPGAURuMr5w,ASC2NT,어센트(ASC2NT) 'Still Rose' MV Reaction,2026-03-03,2026-03-10 19:10,187.2,1349,221,32,4,0
0LLFprdOHqo,BLACKPINK,BLACKPINK - 'GO' M/V Behind the Scenes,2026-03-09,2026-03-10 22:10,46.2,1233157,174276,7817,57247,4217
cZAfSJGkp58,H1-KEY,H1-KEY(하이키) 나의 첫사랑에게 (To. My First Love) M/V Reaction,2026-03-09,2026-03-10 22:10,46.2,3714,559,63,136,6
qGaP6xA0S24,MADEIN,"MADEIN - ""PUNG!"" PERFORMANCE MV",2026-03-09,2026-03-10 22:10,46.2,100877,1815,110,8269,54
PZg9dXu--zU,KiiiKiii,KiiiKiii 키키 'Delulu' MV Behind The Scenes,2026-03-07,2026-03-10 22:10,94.2,21565,2664,218,216,16
5Ml36DgCDCU,AtHeart,AtHeart 앳하트 ‘Butterfly Doors’ MV Teaser 1,2026-03-09,2026-03-10 22:10,46.2,119335,1238,142,21394,33
oh7Vo8vtvMY,AtHeart,"[📹Hearting] 비하인드, 솔직히 기다렸지? 😘 | ‘Shut Up’ MV Behind",2026-03-07,2026-03-10 22:10,94.2,24162,586,37,250,3
ky25jg2lKLc,Baby DONT Cry,Baby DONT Cry - 'Shapeshifter' MV Teaser 1,2026-03-09,2026-03-10 22:10,46.2,14779,2586,156,716,50
YTKu63w0HxI,P1Harmony,P1Harmony (피원하모니) - ‘UNIQUE’ MV TEASER,2026-03-09,2026-03-10 22:10,46.2,60816,16832,1089,3292,614
FeU8m9YEVSY,NouerA,NouerA (누에라) 'POP IT LIKE' MV,2026-03-09,2026-03-10 22:10,46.2,4922824,5228,764,704749,342
I3ykCyP3JJU,ALL(H)OURS,ALL(H)OURS (올아워즈) ‘DEAD MAN WALKING’ M/V TEASER. 1,2026-03-09,2026-03-10 22:10,46.2,81020,1614,86,302,25
0LLFprdOHqo,BLACKPINK,BLACKPINK - 'GO' M/V Behind the Scenes,2026-03-09,2026-03-11 01:10,49.2,1279731,178200,7918,46574,3924
cZAfSJGkp58,H1-KEY,H1-KEY(하이키) 나의 첫사랑에게 (To. My First Love) M/V Reaction,2026-03-09,2026-03-11 01:10,49.2,3765,561,65,51,2
sBx08M4cDME,H1-KEY,H1-KEY(하이키) 나의 첫사랑에게 (To. My First Love) Official M/V,2026-03-05,2026-03-11 01:10,145.2,3397034,16559,1257,8610,247
qGaP6xA0S24,MADEIN,"MADEIN - ""PUNG!"" PERFORMANCE MV",2026-03-09,2026-03-11 01:10,49.2,106328,1880,112,5451,65
9sIqCLT_ZWI,MADEIN,"MADEIN - ""PUNG!"" MV Behind The Scenes",2026-03-05,2026-03-11 01:10,145.2,5574,646,48,51,7
aer_X9NmhTc,MADEIN,"MADEIN - ""PUNG!"" MV",2026-03-04,2026-03-11 01:10,169.2,3831450,11721,637,4028,131
zQ-XkGm0zvI,Hearts2Hearts,약간 무서운 인형 느낌쓰 내가 널 잡아먹었다악!!! (^❯⩊❮^)⟆.✦ ݁˖ | Hearts2Hearts 하츠투하츠 ’RUDE!’ MV BH2ND #1,2026-03-06,2026-03-11 01:10,121.2,239771,17801,856,4180,188
5Ml36DgCDCU,AtHeart,AtHeart 앳하트 ‘Butterfly Doors’ MV Teaser 1,2026-03-09,2026-03-11 01:10,49.2,135919,1281,146,16584,43
ky25jg2lKLc,Baby DONT Cry,Baby DONT Cry - 'Shapeshifter' MV Teaser 1,2026-03-09,2026-03-11 01:10,49.2,15325,2701,158,546,115
YTKu63w0HxI,P1Harmony,P1Harmony (피원하모니) - ‘UNIQUE’ MV TEASER,2026-03-09,2026-03-11 01:10,49.2,63735,17482,1100,2919,650
wYDje1rv-oo,ONF,온앤오프 (ONF)_사랑하게 될 거야 (We Must Love)(MV),2026-03-04,2026-03-11 01:10,169.2,34422,0,521,812,0
FeU8m9YEVSY,NouerA,NouerA (누에라) 'POP IT LIKE' MV,2026-03-09,2026-03-11 01:10,49.2,5499035,5625,816,576211,397
swubc9U-Wgs,NouerA,NouerA (누에라) 'POP IT LIKE' MV TEASER #2,2026-03-06,2026-03-11 01:10,121.2,60660,624,48,178,6
I3ykCyP3JJU,ALL(H)OURS,ALL(H)OURS (올아워즈) ‘DEAD MAN WALKING’ M/V TEASER. 1,2026-03-09,2026-03-11 01:10,49.2,81569,1653,86,549,39
