gender,name,name_en,tiktok_url
남자,에이엠피,AxMxP,https://www.tiktok.com/@axmxp_official
남자,에이티비오,ATBO,https://www.tiktok.com/@atboground
남자,에이티즈,ATEEZ,https://www.tiktok.com/@ateez_official_
남자,에이티투메이저,82MAJOR,https://www.tiktok.com/@82major_official
남자,에잇턴,8TURN,https://www.tiktok.com/@8turn_official
남자,엑스디너리 히어로즈,Xdinary Heroes,https://www.tiktok.com/@xheroes_official
남자,엑스러브,XLOV,https://www.tiktok.com/@xlov_official
남자,엔시티 드림,NCT DREAM,https://www.tiktok.com/@official_nct
남자,엔시티 일이칠,NCT 127,https://www.tiktok.com/@official_nct
남자,엔싸인,n.SSign,https://www.tiktok.com/@nch_nssign
남자,엔카이브,NCHIVE,https://www.tiktok.com/@nchive_official
남자,엔하이픈,ENHYPEN,https://www.tiktok.com/@enhypen
남자,엘라스트,E'LAST,https://www.tiktok.com/@elast.official
남자,엠빅,AM8IC,https://www.tiktok.com/@am8ic_tov
남자,엠씨엔디,MCND,https://www.tiktok.com/@mcndofficial_
남자,오메가엑스,OMEGA X,https://www.tiktok.com/@omega_x_official
남자,온앤오프,ONF,https://www.tiktok.com/@onf_offcl
남자,올데이프로젝트,ALLDAY PROJECT,https://www.tiktok.com/@allday_project
남자,올아워즈,ALL(H)OURS,https://www.tiktok.com/@all_h_ours
남자,워터파이어,WATERFIRE,https://www.tiktok.com/@waterfire_official
남자,원어스,ONEUS,https://www.tiktok.com/@bwave_oneus
남자,원팩트,ONE PACT,https://www.tiktok.com/@0nepact
남자,웨이커,WAKER,https://www.tiktok.com/@official_waker
남자,위아이,WEi,https://www.tiktok.com/@wei__official
남자,유나이트,YOUNITE,https://www.tiktok.com/@younite_officl
남자,유어즈,YUHZ,https://www.tiktok.com/@yuhz_official
남자,이븐,EVNNE,https://www.tiktok.com/@evnne_official
남자,이스트샤인,EASTSHINE,https://www.tiktok.com/@official_eastshine
남자,이오닛,AEONIT,https://www.tiktok.com/@aeonit_official
남자,이펙스,EPEX,https://www.tiktok.com/@epex.official
남자,제로베이스원,ZEROBASEONE,https://www.tiktok.com/@zb1_official
남자,코르티스,CORTIS,https://www.tiktok.com/@cortis_bighit
남자,크래비티,CRAVITY,https://www.tiktok.com/@cravityofficial
남자,클로즈 유어 아이즈,CLOSE YOUR EYES,https://www.tiktok.com/@closeyoureyes_official
남자,키빗업,KEYVITUP,https://www.tiktok.com/@keyvitup_inkode
남자,킥플립,KickFlip,https://www.tiktok.com/@kickflip_jype
남자,템페스트,TEMPEST,https://www.tiktok.com/@tpstofficial_
남자,투모로우바이투게더,TXT,https://www.tiktok.com/@txt.bighitent
남자,투어스,TWS,https://www.tiktok.com/@tws_pledis
남자,튜넥스,TUNEXX,https://www.tiktok.com/@tunexx_official
남자,트레저,TREASURE,https://www.tiktok.com/@yg_treasure_tiktok
남자,트렌드지,TRENDZ,https://www.tiktok.com/@trendz_offcl
남자,티아이오티,TIOT,https://www.tiktok.com/@tiot_now
남자,파우,POW,https://www.tiktok.com/@pow_grid
남자,판타지보이즈,FANTASY BOYS,https://www.tiktok.com/@official_fantasyboys
남자,펜타곤,PENTAGON,https://www.tiktok.com/@official_ptg
남자,플레이브,PLAVE,https://www.tiktok.com/@plave_official
남자,피원하모니,P1Harmony,https://www.tiktok.com/@p1harmony
남자,피커스,PICKUS,https://www.tiktok.com/@pickus_offcl
남자,하우,HAWW,https://www.tiktok.com/@haww_official_
남자,휘브,WHIB,https://www.tiktok.com/@whib_official
