shortcode,ig_handle,group_name,posted_at,snapshot_ts,hours_since_upload,likes,comments,shares,saves,views,likes_delta,comments_delta
DV2cWUbkr7C,dragonpony_,Dragon Pony,2026-03-14T13:00:00+09:00,2026-03-14T18:29:15.473679+09:00,5.5,4054,29,0,0,100085,1058,6
DV2qDK7EsEK,dragonpony_,Dragon Pony,2026-03-14T14:00:00+09:00,2026-03-14T18:29:15.473679+09:00,4.5,1202,10,0,0,22162,380,2
DVvrwt1EiKn,dragonpony_,Dragon Pony,2026-03-11T22:00:00+09:00,2026-03-14T18:29:15.473679+09:00,68.5,2299,10,0,0,29201,8,0
DVvt_lpks7q,dragonpony_,Dragon Pony,2026-03-11T22:05:15+09:00,2026-03-14T18:29:15.473679+09:00,68.4,3326,16,0,0,39819,10,0
DVvXJ-TvYkh,idid_starship,IDID,2026-03-11T19:00:00+09:00,2026-03-14T18:29:15.473679+09:00,71.5,29166,406,0,0,187414,186,1
DV0nirHvxQ3,idid_starship,IDID,2026-03-13T20:00:00+09:00,2026-03-14T18:29:15.473679+09:00,22.5,6791,103,0,0,50160,231,0
DV2VgmZvUQQ,idid_starship,IDID,2026-03-14T12:00:00+09:00,2026-03-14T18:29:15.473679+09:00,6.5,6827,145,0,0,45492,1237,18
DVx1pHakob3,cortis,CORTIS,2026-03-12T18:00:43+09:00,2026-03-14T18:29:15.473679+09:00,48.5,856292,10666,0,0,7946815,7330,24
DV02gR6EqfH,cortis,CORTIS,2026-03-13T22:01:48+09:00,2026-03-14T18:29:15.473679+09:00,20.5,598440,4072,0,0,4590044,23951,72
DV2ViEtAL7p,cortis,CORTIS,2026-03-14T12:02:03+09:00,2026-03-14T18:29:15.473679+09:00,6.5,480502,2390,0,0,3724020,113284,248
DVxj4MjD6u7,ald1.official,ALPHA DRIVE ONE,2026-03-12T15:30:52+09:00,2026-03-14T18:29:15.473679+09:00,51.0,115416,1097,0,0,1223189,599,3
