성별,순위,그룹,흥행점수,A기여,B기여,C기여,D기여,E기여,A,B,C,D,E,플래그
남자,93,더씬드롬,8.9,0.0,2.4,6.0,0.0,0.5,0,0.12,0.3,0,0.05,
남자,94,이펙스,8.9,0.0,1.7,6.2,0.0,1.0,0,0.09,0.31,0,0.1,
남자,95,이븐,8.7,0.0,1.5,6.5,0.0,0.8,0,0.07,0.32,0,0.08,
남자,96,웨이커,8.7,0.0,2.9,5.3,0.0,0.5,0,0.14,0.26,0,0.05,
남자,97,다이몬,8.6,0.0,2.2,5.8,0.0,0.6,0,0.11,0.29,0,0.06,
남자,98,에이머스,8.5,0.0,2.4,5.6,0.0,0.5,0,0.12,0.28,0,0.05,
남자,99,드리핀,8.5,0.0,2.1,5.7,0.0,0.6,0,0.11,0.29,0,0.06,
남자,100,배너,8.4,0.0,1.7,5.7,0.0,1.0,0,0.09,0.28,0,0.1,
남자,101,피커스,8.3,0.0,2.5,5.3,0.0,0.6,0,0.12,0.26,0,0.06,
남자,102,나인아이,8.3,0.0,2.3,5.5,0.0,0.5,0,0.11,0.27,0,0.05,
남자,103,비에이이일칠삼,8.1,0.0,1.6,5.8,0.0,0.7,0,0.08,0.29,0,0.07,
남자,104,소디엑,8.0,0.0,1.5,5.9,0.0,0.6,0,0.07,0.3,0,0.06,
남자,105,에이티비오,7.1,0.0,0.9,5.6,0.0,0.6,0,0.05,0.28,0,0.06,
