성별,순위,그룹,흥행점수,A기여,B기여,C기여,D기여,E기여,A,B,C,D,E,플래그
여자,1,리센느,88.7,35.0,19.7,17.8,11.6,4.6,1.0,0.99,0.89,0.77,0.46,
여자,2,하츠투하츠,63.9,29.1,12.5,9.8,10.8,1.7,0.83,0.62,0.49,0.72,0.17,
여자,3,아일릿,61.9,29.1,11.4,20.0,0.0,1.4,0.83,0.57,1.0,0,0.14,
여자,4,프로미스나인,59.2,19.4,8.4,17.3,11.8,2.3,0.55,0.42,0.86,0.79,0.23,
여자,5,아이들,57.2,16.4,9.4,18.3,11.8,1.3,0.47,0.47,0.92,0.78,0.13,
여자,6,르세라핌,54.3,23.3,10.6,19.4,0.0,1.0,0.67,0.53,0.97,0,0.1,
여자,7,에스파,52.9,31.3,10.6,9.4,0.0,1.5,0.89,0.53,0.47,0,0.15,
여자,8,미야오,51.8,14.4,10.5,17.9,7.9,1.0,0.41,0.53,0.9,0.53,0.1,
여자,9,베이비몬스터,49.5,16.8,10.5,9.3,11.6,1.3,0.48,0.53,0.46,0.77,0.13,
여자,10,뉴진스,49.3,16.8,11.0,18.7,0.0,2.8,0.48,0.55,0.94,0,0.28,
여자,11,아이브,44.4,23.2,10.4,9.3,0.0,1.5,0.66,0.52,0.47,0,0.15,
여자,12,엔믹스,43.7,24.5,9.2,8.9,0.0,1.0,0.7,0.46,0.45,0,0.1,
여자,13,키키,42.3,21.0,11.4,8.9,0.0,1.1,0.6,0.57,0.44,0,0.11,
여자,14,블랙핑크,39.0,18.4,9.5,9.9,0.0,1.1,0.53,0.48,0.5,0,0.11,
여자,15,피프티피프티,37.2,8.2,8.7,9.2,10.1,1.0,0.24,0.43,0.46,0.67,0.1,
여자,16,이즈나,36.4,9.3,8.7,8.9,8.7,0.9,0.27,0.43,0.45,0.58,0.09,
여자,17,앳하트,34.9,0.0,9.4,16.4,8.2,1.0,0,0.47,0.82,0.54,0.1,
여자,18,스테이씨,34.1,9.0,7.8,16.6,0.0,0.6,0.26,0.39,0.83,0,0.06,
여자,19,큐더블유이알,34.1,10.9,6.7,15.2,0.0,1.3,0.31,0.34,0.76,0,0.13,
여자,20,트와이스,33.9,11.3,9.8,10.4,0.0,2.3,0.32,0.49,0.52,0,0.23,
여자,21,하이키,32.8,8.3,8.1,15.0,0.0,1.3,0.24,0.41,0.75,0,0.13,
여자,22,클라씨,32.0,0.0,7.7,15.5,7.7,1.0,0,0.38,0.78,0.52,0.1,
여자,23,올데이프로젝트,31.5,14.4,7.7,8.6,0.0,0.7,0.41,0.39,0.43,0,0.07,
여자,24,유스피어,30.7,0.0,8.1,13.4,8.3,0.9,0,0.4,0.67,0.56,0.09,
여자,25,레드벨벳,29.8,9.5,9.7,9.1,0.0,1.5,0.27,0.48,0.46,0,0.15,
여자,26,키스오브라이프,29.4,11.5,7.7,9.1,0.0,1.1,0.33,0.38,0.46,0,0.11,
여자,27,있지,29.2,9.7,9.5,9.1,0.0,0.9,0.28,0.47,0.46,0,0.09,
여자,28,아워벌스데이,28.1,0.0,0.0,10.1,11.3,6.7,0,0,0.51,0.75,0.67,신규데뷔 🔍차트외화제-verify(음방有)
여자,29,프림로즈,27.1,0.0,7.6,13.9,4.9,0.7,0,0.38,0.7,0.33,0.07,
여자,30,우당탕탕 소녀단,26.9,0.0,8.4,12.5,5.2,0.8,0,0.42,0.63,0.34,0.08,
여자,31,영파씨,24.7,0.0,8.3,15.6,0.0,0.9,0,0.41,0.78,0,0.09,
여자,32,아르테미스,24.2,0.0,8.6,14.6,0.0,1.0,0,0.43,0.73,0,0.1,
여자,33,키비츠,23.6,0.0,0.0,12.1,9.7,1.7,0,0,0.6,0.65,0.17,신규데뷔
여자,34,우아,23.1,0.0,7.5,14.7,0.0,0.8,0,0.38,0.74,0,0.08,
여자,35,힛지스,22.3,0.0,6.8,14.6,0.0,0.8,0,0.34,0.73,0,0.08,
여자,36,언차일드,21.5,1.6,10.7,8.4,0.0,0.8,0.05,0.53,0.42,0,0.08,
여자,37,빌리,19.7,2.0,9.0,7.7,0.0,1.0,0.06,0.45,0.39,0,0.1,
여자,38,트리플에스,18.8,1.2,8.6,8.2,0.0,0.9,0.03,0.43,0.41,0,0.09,
여자,39,베이비돈크라이,18.7,1.0,9.1,7.7,0.0,0.9,0.03,0.45,0.38,0,0.09,
여자,40,캔디샵,18.1,0.0,7.3,10.8,0.0,0.0,0,0.37,0.54,0,0.0,
여자,41,오마이걸,17.5,7.0,0.6,9.0,0.0,0.9,0.2,0.03,0.45,0,0.09,
여자,42,세이마이네임,17.4,0.0,8.2,8.3,0.0,0.9,0,0.41,0.42,0,0.09,
여자,43,이프아이,17.1,0.0,8.6,7.8,0.0,0.7,0,0.43,0.39,0,0.07,
여자,44,루셈블,16.9,0.0,0.9,15.4,0.0,0.6,0,0.05,0.77,0,0.06,
