성별,순위,그룹,흥행점수,A기여,B기여,C기여,D기여,E기여,A,B,C,D,E,플래그
여자,1,아일릿,84.2,32.8,13.1,19.7,10.8,7.9,0.94,0.66,0.98,0.72,0.79,
여자,2,에스파,80.3,34.0,11.3,19.3,11.7,4.0,0.97,0.57,0.96,0.78,0.4,
여자,3,엔믹스,74.6,30.0,11.4,18.6,10.4,4.3,0.86,0.57,0.93,0.69,0.43,
여자,4,르세라핌,73.4,27.4,11.8,19.6,10.7,3.8,0.78,0.59,0.98,0.71,0.38,
여자,5,베이비몬스터,66.6,20.3,12.0,19.2,10.8,4.3,0.58,0.6,0.96,0.72,0.43,
여자,6,리센느,58.7,21.2,19.5,8.0,0.0,10.0,0.61,0.98,0.4,0,1.0,
여자,7,하츠투하츠,55.7,29.8,14.1,9.5,0.0,2.3,0.85,0.71,0.48,0,0.23,
여자,8,아이브,52.1,28.8,11.3,9.3,0.0,2.6,0.82,0.57,0.47,0,0.26,
여자,9,키키,49.5,25.4,12.4,9.5,0.0,2.2,0.72,0.62,0.47,0,0.22,
여자,10,있지,48.0,15.4,1.2,18.1,11.1,2.2,0.44,0.06,0.9,0.74,0.22,
여자,11,큐더블유이알,46.7,15.6,8.5,16.1,4.5,2.0,0.44,0.43,0.81,0.3,0.2,
여자,12,빌리,46.2,8.6,11.9,16.3,8.2,1.2,0.25,0.59,0.82,0.55,0.12,
여자,13,뉴진스,45.4,21.9,10.3,10.6,0.0,2.6,0.63,0.52,0.53,0,0.26,
여자,14,언차일드,40.3,3.7,9.7,17.4,8.6,0.9,0.11,0.48,0.87,0.57,0.09,
여자,15,미야오,39.9,9.1,10.3,17.8,0.0,2.8,0.26,0.52,0.89,0,0.28,
여자,16,피프티피프티,38.6,7.8,9.4,18.3,0.0,3.2,0.22,0.47,0.91,0,0.32,
여자,17,프로미스나인,38.5,17.8,1.5,16.2,0.0,3.0,0.51,0.08,0.81,0,0.3,
여자,18,키라스,38.5,0.0,14.9,14.2,8.3,1.1,0,0.74,0.71,0.55,0.11,
여자,19,키스오브라이프,34.5,15.2,9.2,9.2,0.0,0.9,0.43,0.46,0.46,0,0.09,
여자,20,블랙핑크,33.8,21.9,0.5,10.0,0.0,1.5,0.62,0.02,0.5,0,0.15,
여자,21,이프아이,32.6,2.9,10.6,15.0,2.9,1.2,0.08,0.53,0.75,0.19,0.12,
여자,22,하이키,31.3,6.3,8.6,14.4,0.0,2.0,0.18,0.43,0.72,0,0.2,
여자,23,이즈나,30.2,8.7,2.0,16.4,0.0,3.1,0.25,0.1,0.82,0,0.31,
여자,24,올데이프로젝트,29.5,15.2,2.3,9.5,0.0,2.5,0.44,0.12,0.47,0,0.25,
여자,25,트리플에스,27.6,1.3,8.6,15.2,0.0,2.5,0.04,0.43,0.76,0,0.25,
여자,26,세이마이네임,25.8,0.0,9.1,15.6,0.0,1.1,0,0.45,0.78,0,0.11,
여자,27,아르테미스,25.0,0.0,8.9,14.8,0.0,1.2,0,0.45,0.74,0,0.12,
여자,28,베이비돈크라이,24.7,1.0,14.8,7.7,0.0,1.2,0.03,0.74,0.38,0,0.12,
여자,29,아이들,24.6,12.2,1.2,10.1,0.0,1.1,0.35,0.06,0.51,0,0.11,
여자,30,트와이스,23.5,9.9,1.1,10.1,0.0,2.4,0.28,0.05,0.51,0,0.24,
여자,31,오마이걸,23.1,4.2,1.4,15.8,0.0,1.7,0.12,0.07,0.79,0,0.17,
여자,32,비비지,21.4,3.5,2.0,14.6,0.0,1.2,0.1,0.1,0.73,0,0.12,
여자,33,븨븨에스,21.0,0.0,6.1,14.2,0.0,0.7,0,0.3,0.71,0,0.07,
여자,34,스테이씨,20.7,6.9,2.0,9.6,0.0,2.1,0.2,0.1,0.48,0,0.21,
여자,35,어블룸,20.5,0.0,6.7,13.1,0.0,0.6,0,0.34,0.66,0,0.06,
여자,36,레드벨벳,19.7,7.3,0.9,9.8,0.0,1.7,0.21,0.04,0.49,0,0.17,
여자,37,에스투잇,19.6,0.0,7.7,11.0,0.0,0.9,0,0.38,0.55,0,0.09,
여자,38,배드빌런,18.4,0.0,2.3,15.0,0.0,1.1,0,0.11,0.75,0,0.11,
여자,39,우아,18.2,0.0,2.3,14.9,0.0,1.0,0,0.11,0.74,0,0.1,
여자,40,트라이비,18.0,0.0,2.1,15.3,0.0,0.5,0,0.11,0.77,0,0.05,
