성별,순위,그룹,흥행점수,A기여,B기여,C기여,D기여,E기여,A,B,C,D,E,플래그
여자,1,리센느,82.9,29.2,19.4,17.0,9.6,7.7,0.84,0.97,0.85,0.64,0.77,
여자,2,에스파,76.9,35.0,11.3,19.1,9.4,2.1,1.0,0.56,0.95,0.62,0.21,
여자,3,르세라핌,69.8,27.5,12.0,20.0,7.6,2.7,0.79,0.6,1.0,0.51,0.27,
여자,4,하츠투하츠,69.4,29.3,14.2,9.8,12.5,3.6,0.84,0.71,0.49,0.83,0.36,
여자,5,미야오,68.0,17.7,12.0,18.5,12.2,7.7,0.51,0.6,0.92,0.81,0.77,
여자,6,아일릿,66.3,30.5,13.2,19.9,0.0,2.6,0.87,0.66,1.0,0,0.26,
여자,7,베이비몬스터,54.0,18.2,11.0,9.8,13.1,2.0,0.52,0.55,0.49,0.87,0.2,
여자,8,피프티피프티,52.5,11.2,9.0,18.1,9.2,4.9,0.32,0.45,0.91,0.62,0.49,
여자,9,이즈나,52.1,10.5,9.3,17.3,11.4,3.4,0.3,0.47,0.86,0.76,0.34,
여자,10,키키,50.5,23.2,11.1,9.3,6.1,0.8,0.66,0.55,0.47,0.41,0.08,
여자,11,스테이씨,49.0,11.0,8.0,16.7,10.5,2.8,0.31,0.4,0.84,0.7,0.28,
여자,12,아이브,48.5,26.0,11.2,9.4,0.0,2.0,0.74,0.56,0.47,0,0.2,
여자,13,뉴진스,48.3,18.2,9.4,18.6,0.0,2.1,0.52,0.47,0.93,0,0.21,
여자,14,엔믹스,47.9,27.5,9.7,9.7,0.0,1.0,0.79,0.49,0.48,0,0.1,
여자,15,트리플에스,45.5,7.0,9.0,16.9,8.8,3.8,0.2,0.45,0.85,0.59,0.38,
여자,16,아이들,43.9,16.6,9.3,17.1,0.0,1.0,0.47,0.46,0.85,0,0.1,
여자,17,블랙핑크,40.9,19.3,9.8,10.0,0.0,1.8,0.55,0.49,0.5,0,0.18,
여자,18,프로미스나인,40.3,14.1,0.3,16.3,6.9,2.6,0.4,0.02,0.82,0.46,0.26,
여자,19,클라씨,36.4,0.0,8.3,13.7,9.3,5.1,0,0.41,0.69,0.62,0.51,
여자,20,레드벨벳,36.2,7.0,9.6,17.7,0.0,1.9,0.2,0.48,0.88,0,0.19,
여자,21,앳하트,34.6,0.0,9.2,14.2,10.3,0.9,0,0.46,0.71,0.69,0.09,
여자,22,있지,34.5,13.5,9.7,10.7,0.0,0.7,0.39,0.48,0.53,0,0.07,
여자,23,빌리,34.4,5.8,9.2,15.1,3.5,0.8,0.17,0.46,0.75,0.23,0.08,
여자,24,키스오브라이프,32.3,14.3,7.9,9.4,0.0,0.6,0.41,0.4,0.47,0,0.06,
